"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2023","1.0002","1.0005","1.0012","0.9998","544.87M","-0.02%"
"06/04/2023","1.0005","1.0002","1.0011","0.9996","739.84M","0.03%"
"06/11/2023","0.9999","1.0005","1.0010","0.9964","676.08M","-0.06%"
"06/18/2023","1.0003","1.0006","1.0011","0.9996","632.04M","0.04%"
"06/25/2023","1.0001","1.0003","1.0010","0.9995","776.69M","-0.02%"
"07/02/2023","1.0007","1.0001","1.0012","1.0000","667.26M","0.06%"
"07/09/2023","1.0002","1.0007","1.0014","1.0001","878.00M","-0.05%"
"07/16/2023","1.0003","1.0002","1.0014","1.0000","484.31M","0.01%"
"07/23/2023","1.0002","1.0003","1.0015","0.9997","487.55M","-0.01%"
"07/30/2023","0.9995","1.0002","1.0015","0.9986","652.90M","-0.07%"
"08/06/2023","0.9998","0.9995","1.0006","0.9988","675.10M","0.03%"
"08/13/2023","1.0001","0.9998","1.0008","0.9986","975.25M","0.02%"
"08/20/2023","0.9999","1.0001","1.0010","0.9995","719.81M","-0.01%"
"08/27/2023","1.0001","1.0008","1.0011","0.9995","874.38M","0.02%"
"09/03/2023","1.0001","1.0001","1.0010","0.9995","692.26M","0.00%"
"09/10/2023","1.0004","1.0001","1.0010","0.9997","803.89M","0.03%"
"09/17/2023","1.0008","1.0004","1.0018","1.0000","694.98M","0.04%"
"09/24/2023","1.0003","1.0008","1.0018","0.9993","702.29M","-0.06%"
"10/01/2023","1.0005","1.0003","1.0013","0.9999","786.94M","0.02%"
"10/08/2023","1.0003","1.0005","1.0014","0.9998","760.54M","-0.02%"
"10/15/2023","1.0004","1.0003","1.0012","1.0001","804.36M","0.01%"
"10/22/2023","1.0003","1.0004","1.0011","0.9998","886.88M","-0.01%"
"10/29/2023","1.0010","1.0003","1.0013","1.0001","745.72M","0.06%"
"11/05/2023","0.9999","1.0010","1.0017","0.9997","1.04B","-0.11%"
"11/12/2023","1.0006","0.9999","1.0010","0.9996","1.18B","0.07%"
"11/19/2023","1.0003","1.0006","1.0009","0.9999","1.18B","-0.03%"
"11/26/2023","1.0001","1.0003","1.0007","0.9998","1.03B","-0.03%"
"12/03/2023","1.0006","1.0001","1.0010","0.9991","1.41B","0.06%"
"12/10/2023","0.9999","1.0006","1.0010","0.9991","1.18B","-0.07%"
